Link outLinkSimilarity inLinkSimilarity lexicalSimilarity numOutLinks numInLinks length CategorySimilarity
/wiki/Labyrinth 0.00630914826498 0.0027149321267 0.0717997165801 171 514 16900 0
/wiki/Unconscious_mind 0.0112781954887 0.0017825311943 0.0893276915844 124 530 21135 0
/wiki/Jung 0.0130718954248 0.0 0.0944 165 146 28998 0
/wiki/Rififi 0.0349854227405 0.00434782608696 0.105076142132 204 100 17452 1
/wiki/IGN 0.00467289719626 0.00138336503545 0.070938215103 59 5381 9216 0
/wiki/Relevant_Magazine 0.00568181818182 0.0 0.0179833012203 18 60 2615 0
/wiki/Empire_(magazine) 0.00740740740741 0.00877706260971 0.0396732788798 117 1159 7285 0
/wiki/Stanley_Kubrick 0.0161001788909 0.010835214447 0.126976954361 466 1647 111026 0
/wiki/William_Gibson 0.0147058823529 0.00191815856777 0.128491620112 330 983 44535 0
/wiki/Entertainment_Weekly 0.0102564102564 0.00216177265358 0.0503256364713 37 4987 7368 0
/wiki/M.C._Escher 0.0 0.00149031296572 0.0735607675906 99 78 11732 0
/wiki/The_New_York_Post 0.0188679245283 0.00292397660819 0.0626579080344 170 435 13257 0
/wiki/Lou_Lumenick 0.00578034682081 0.00160256410256 0.0134138162307 14 31 1188 0
/wiki/Roger_Ebert 0.0342105263158 0.00489816963135 0.101967081493 261 3308 30080 0
/wiki/Chicago_Sun-Times 0.0267175572519 0.00400565504241 0.0385739333723 121 3762 6228 0
/wiki/Richard_Roeper 0.0145631067961 0.00355871886121 0.0340050377834 51 252 3864 0
/wiki/The_Chicago_Sun-Times 0.0267175572519 0.0 0.0385739333723 121 114 6228 0
/wiki/Chicago_Tribune 0.00946372239748 0.000866250866251 0.0872593199508 180 5259 30203 0
/wiki/Michael_Phillips_(critic) 0.0178571428571 0.00448430493274 0.0183673469388 11 80 994 0
/wiki/Shakespeare 0.00469483568075 0.000442771751162 0.099591230026 344 3925 38828 0
/wiki/Time_(magazine) 0.0 0.00085409252669 0.0829320492242 64 6665 12318 0
/wiki/Los_Angeles_Times 0.00813008130081 0.00231803430691 0.0587309910855 93 6016 11152 0
/wiki/Kenneth_Turan 0.00588235294118 0.00259403372244 0.0102389078498 11 179 810 0
/wiki/USA_Today 0.0115273775216 0.00162103746398 0.0636942675159 197 4983 15349 0
/wiki/New_York_(magazine) 0.0109489051095 0.00127280441239 0.0696564885496 148 1806 16265 0
/wiki/David_Edelstein 0.010989010989 0.0 0.0107962213225 24 90 1098 0
/wiki/Rex_Reed 0.0106382978723 0.0 0.0308087291399 30 117 2812 0
/wiki/The_New_York_Observer 0.00523560209424 0.000780640124902 0.0253164556962 32 708 2934 0
/wiki/A._O._Scott 0.0261780104712 0.00553097345133 0.03515625 36 324 2790 0
/wiki/The_New_York_Times 0.0146341463415 0.00184038815459 0.102848101266 282 5509 33119 0
/wiki/DVD 0.00877192982456 0.000324569944823 0.0973766118275 219 5612 26566 0
/wiki/Blu-ray_Disc 0.0105263157895 0.00155884645362 0.10045286126 407 5930 42576 0
/wiki/Wikipedia:Citation_needed 0.0 0.000363108206245 0.00276816608997 2 4916 186 0
/wiki/68th_Golden_Globe_Awards 0.0 0.0168612191958 0.0122282608696 12 190 1109 0
